C,gamma,fitness
0.03125,3.0517578125e-05,0.30606748139363005
0.03125,6.103515625e-05,0.30606748139363005
0.03125,0.0001220703125,0.30606748139363005
0.03125,0.000244140625,0.30606748139363005
0.03125,0.00048828125,0.30606748139363005
0.03125,0.0009765625,0.30606748139363005
0.03125,0.001953125,0.30606748139363005
0.03125,0.00390625,0.30606748139363005
0.03125,0.0078125,0.30606748139363005
0.03125,0.015625,0.30606748139363005
0.03125,0.03125,0.30606748139363005
0.03125,0.0625,0.30606748139363005
0.03125,0.125,0.30606748139363005
0.03125,0.25,0.30606748139363005
0.03125,0.5,0.30606748139363005
0.03125,1.0,0.30606748139363005
0.03125,2.0,0.30606748139363005
0.03125,4.0,0.30606748139363005
0.03125,8.0,0.30606748139363005
0.0625,3.0517578125e-05,0.30606748139363005
0.0625,6.103515625e-05,0.30606748139363005
0.0625,0.0001220703125,0.30606748139363005
0.0625,0.000244140625,0.30606748139363005
0.0625,0.00048828125,0.30606748139363005
0.0625,0.0009765625,0.30606748139363005
0.0625,0.001953125,0.30606748139363005
0.0625,0.00390625,0.30606748139363005
0.0625,0.0078125,0.30606748139363005
0.0625,0.015625,0.3322158461693345
0.0625,0.03125,0.39427432087670317
0.0625,0.0625,0.34751247995717643
0.0625,0.125,0.30606748139363005
0.0625,0.25,0.30606748139363005
0.0625,0.5,0.30606748139363005
0.0625,1.0,0.30606748139363005
0.0625,2.0,0.30606748139363005
0.0625,4.0,0.30606748139363005
0.0625,8.0,0.30606748139363005
0.125,3.0517578125e-05,0.30606748139363005
0.125,6.103515625e-05,0.30606748139363005
0.125,0.0001220703125,0.30606748139363005
0.125,0.000244140625,0.30606748139363005
0.125,0.00048828125,0.30606748139363005
0.125,0.0009765625,0.30606748139363005
0.125,0.001953125,0.30606748139363005
0.125,0.00390625,0.30606748139363005
0.125,0.0078125,0.40335933682502034
0.125,0.015625,0.5301375312152397
0.125,0.03125,0.5671506410020306
0.125,0.0625,0.5308024741376982
0.125,0.125,0.34285935278561486
0.125,0.25,0.30606748139363005
0.125,0.5,0.30606748139363005
0.125,1.0,0.30606748139363005
0.125,2.0,0.30606748139363005
0.125,4.0,0.30606748139363005
0.125,8.0,0.30606748139363005
0.25,3.0517578125e-05,0.30606748139363005
0.25,6.103515625e-05,0.30606748139363005
0.25,0.0001220703125,0.30606748139363005
0.25,0.000244140625,0.30606748139363005
0.25,0.00048828125,0.30606748139363005
0.25,0.0009765625,0.30606748139363005
0.25,0.001953125,0.30673242431608855
0.25,0.00390625,0.44236874866483483
0.25,0.0078125,0.5505280501309996
0.25,0.015625,0.5997323531072822
0.25,0.03125,0.6292098523522233
0.25,0.0625,0.6358587904815926
0.25,0.125,0.5093028166766114
0.25,0.25,0.3062889653360442
0.25,0.5,0.30606748139363005
0.25,1.0,0.30606748139363005
0.25,2.0,0.30606748139363005
0.25,4.0,0.30606748139363005
0.25,8.0,0.30606748139363005
0.5,3.0517578125e-05,0.30606748139363005
0.5,6.103515625e-05,0.30606748139363005
0.5,0.0001220703125,0.30606748139363005
0.5,0.000244140625,0.30606748139363005
0.5,0.00048828125,0.30606748139363005
0.5,0.0009765625,0.3076188511809612
0.5,0.001953125,0.45965628245832446
0.5,0.00390625,0.5567340203755405
0.5,0.0078125,0.6043862169216678
0.5,0.015625,0.6589083444443626
0.5,0.03125,0.7050101533935906
0.5,0.0625,0.7123252621834585
0.5,0.125,0.6464991049789688
0.5,0.25,0.3674600309881081
0.5,0.5,0.30606748139363005
0.5,1.0,0.30606748139363005
0.5,2.0,0.30606748139363005
0.5,4.0,0.30606748139363005
0.5,8.0,0.30606748139363005
1.0,3.0517578125e-05,0.30606748139363005
1.0,6.103515625e-05,0.30606748139363005
1.0,0.0001220703125,0.30606748139363005
1.0,0.000244140625,0.30606748139363005
1.0,0.00048828125,0.3082833030082037
1.0,0.0009765625,0.46497558029038455
1.0,0.001953125,0.5587281125000921
